Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month
B-25730,8293,2632,8,Office Supplies,Binders,COD,21-08-2023,Austin White,California,Los Angeles,2023-08
B-25730,2863,205,17,Electronics,Phones,UPI,05-01-2022,Justin Rodriguez,Ohio,Cleveland,2022-01
B-25730,2863,205,17,Electronics,Phones,UPI,17-10-2020,Ms. Emily Baxter,New York,Rochester,2020-10
B-25730,2863,205,17,Electronics,Phones,UPI,21-08-2023,Austin White,California,Los Angeles,2023-08
B-26470,3090,573,6,Furniture,Tables,EMI,27-12-2024,Morgan Montes,California,San Diego,2024-12
B-26470,3090,573,6,Furniture,Tables,EMI,18-06-2021,Christine Mosley,Ohio,Cincinnati,2021-06
B-26470,3090,573,6,Furniture,Tables,EMI,27-05-2023,Ashley Rodriguez,Texas,Austin,2023-05
B-26470,3090,573,6,Furniture,Tables,EMI,12-10-2021,Elizabeth King,Texas,Dallas,2021-10
B-26470,9683,1014,5,Electronics,Printers,UPI,27-12-2024,Morgan Montes,California,San Diego,2024-12
B-26470,9683,1014,5,Electronics,Printers,UPI,18-06-2021,Christine Mosley,Ohio,Cincinnati,2021-06
B-26470,9683,1014,5,Electronics,Printers,UPI,27-05-2023,Ashley Rodriguez,Texas,Austin,2023-05
B-26470,9683,1014,5,Electronics,Printers,UPI,12-10-2021,Elizabeth King,Texas,Dallas,2021-10
B-25988,2463,648,18,Furniture,Tables,EMI,19-09-2022,Connie Holmes,Ohio,Cincinnati,2022-09
B-25568,7811,1538,12,Furniture,Sofas,COD,25-03-2022,Melissa Peck,Florida,Miami,2022-03
B-26730,6139,451,10,Furniture,Tables,Debit Card,26-02-2022,David Smith,Florida,Orlando,2022-02
B-26730,6139,451,10,Furniture,Tables,Debit Card,05-04-2021,Jacqueline Harris,Texas,Houston,2021-04
B-26730,8636,3192,3,Furniture,Chairs,COD,26-02-2022,David Smith,Florida,Orlando,2022-02
B-26730,8636,3192,3,Furniture,Chairs,COD,05-04-2021,Jacqueline Harris,Texas,Houston,2021-04
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,26-02-2022,David Smith,Florida,Orlando,2022-02
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,05-04-2021,Jacqueline Harris,Texas,Houston,2021-04
B-25372,1016,172,20,Furniture,Tables,Debit Card,16-11-2020,Heather Jenkins,New York,Buffalo,2020-11
B-25372,5768,2059,14,Furniture,Tables,UPI,16-11-2020,Heather Jenkins,New York,Buffalo,2020-11
B-25372,1217,151,3,Furniture,Tables,Credit Card,16-11-2020,Heather Jenkins,New York,Buffalo,2020-11
B-26026,953,93,2,Office Supplies,Paper,Debit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,953,93,2,Office Supplies,Paper,Debit Card,06-04-2023,Katherine Harris,California,Los Angeles,2023-04
B-26026,7355,1034,3,Furniture,Sofas,COD,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,7355,1034,3,Furniture,Sofas,COD,06-04-2023,Katherine Harris,California,Los Angeles,2023-04
B-26026,1843,248,3,Electronics,Phones,Credit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,1843,248,3,Electronics,Phones,Credit Card,06-04-2023,Katherine Harris,California,Los Angeles,2023-04
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,06-04-2023,Katherine Harris,California,Los Angeles,2023-04
B-25295,2025,528,1,Office Supplies,Pens,Credit Card,28-01-2024,Paul Rogers,Florida,Miami,2024-01
B-25295,6800,167,16,Office Supplies,Binders,EMI,28-01-2024,Paul Rogers,Florida,Miami,2024-01
B-26121,1126,55,1,Furniture,Bookcases,UPI,16-01-2022,Jon Banks,Florida,Tampa,2022-01
B-26121,1126,55,1,Furniture,Bookcases,UPI,16-12-2022,Michelle Williams,New York,Buffalo,2022-12
B-25560,7533,3508,12,Furniture,Tables,UPI,13-07-2023,Andrew Allen,California,San Diego,2023-07
B-25560,4734,1178,16,Office Supplies,Binders,Credit Card,13-07-2023,Andrew Allen,California,San Diego,2023-07
B-25560,4074,1175,6,Electronics,Electronic Games,Debit Card,13-07-2023,Andrew Allen,California,San Diego,2023-07
B-25560,2334,484,3,Furniture,Sofas,Credit Card,13-07-2023,Andrew Allen,California,San Diego,2023-07
B-26076,2750,1239,11,Electronics,Phones,Debit Card,10-03-2025,Vanessa Bauer,New York,Buffalo,2025-03
B-26076,2750,1239,11,Electronics,Phones,Debit Card,24-09-2024,Sean Smith,Ohio,Cleveland,2024-09
B-26076,8639,3104,19,Office Supplies,Pens,EMI,10-03-2025,Vanessa Bauer,New York,Buffalo,2025-03
B-26076,8639,3104,19,Office Supplies,Pens,EMI,24-09-2024,Sean Smith,Ohio,Cleveland,2024-09
B-25872,3808,1192,4,Office Supplies,Markers,UPI,13-04-2020,Shelly Sweeney,New York,New York City,2020-04
B-25872,2588,705,16,Office Supplies,Pens,Credit Card,13-04-2020,Shelly Sweeney,New York,New York City,2020-04
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,27-06-2022,Emily Gill,Illinois,Springfield,2022-06
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,14-03-2021,Brian Patrick,Florida,Tampa,2021-03
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,23-02-2022,Dr. Sarah Booth,Ohio,Cincinnati,2022-02
B-26259,1757,622,10,Furniture,Chairs,UPI,29-03-2022,Douglas Mcfarland,Ohio,Cleveland,2022-03
B-26259,1757,622,10,Furniture,Chairs,UPI,20-11-2022,Kayla Ross,Illinois,Peoria,2022-11
B-25142,6940,253,15,Furniture,Bookcases,Debit Card,12-11-2021,Marc Strickland,Florida,Orlando,2021-11
B-25142,5105,465,5,Electronics,Printers,UPI,12-11-2021,Marc Strickland,Florida,Orlando,2021-11
B-25326,5578,277,16,Furniture,Tables,COD,17-08-2021,Charlene Brown,Florida,Miami,2021-08
B-25326,5578,277,16,Furniture,Tables,COD,16-05-2022,Charles Smith,Ohio,Columbus,2022-05
B-26795,5224,1958,16,Furniture,Chairs,Credit Card,16-07-2023,Karen Townsend,Texas,Houston,2023-07
B-26795,5002,1801,11,Office Supplies,Markers,Credit Card,16-07-2023,Karen Townsend,Texas,Houston,2023-07
B-26795,7380,1673,18,Office Supplies,Markers,COD,16-07-2023,Karen Townsend,Texas,Houston,2023-07
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,18-08-2020,Steven Cox,California,Los Angeles,2020-08
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,19-04-2022,Cynthia Rodriguez,New York,Rochester,2022-04
B-25410,1954,294,7,Furniture,Sofas,Debit Card,23-12-2022,Jessica Baker,Texas,Austin,2022-12
B-25690,523,95,20,Electronics,Printers,EMI,07-12-2024,Mark Blackburn,Texas,Dallas,2024-12
B-26464,5704,714,13,Electronics,Laptops,EMI,03-02-2022,Zachary Perez,Texas,Austin,2022-02
B-26464,5704,714,13,Electronics,Laptops,EMI,12-12-2021,Brian Green,California,San Diego,2021-12
B-26464,8797,1010,8,Furniture,Tables,UPI,03-02-2022,Zachary Perez,Texas,Austin,2022-02
B-26464,8797,1010,8,Furniture,Tables,UPI,12-12-2021,Brian Green,California,San Diego,2021-12
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,03-02-2022,Zachary Perez,Texas,Austin,2022-02
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,12-12-2021,Brian Green,California,San Diego,2021-12
B-26454,9109,586,17,Furniture,Sofas,EMI,17-05-2020,Becky Leach,Florida,Miami,2020-05
B-26742,4358,526,19,Electronics,Phones,Credit Card,05-12-2022,Bryan Russell,Texas,Dallas,2022-12
B-26742,4358,526,19,Electronics,Phones,Credit Card,17-09-2024,Tony Maddox,California,San Francisco,2024-09
B-26742,6459,825,8,Electronics,Phones,Credit Card,05-12-2022,Bryan Russell,Texas,Dallas,2022-12
B-26742,6459,825,8,Electronics,Phones,Credit Card,17-09-2024,Tony Maddox,California,San Francisco,2024-09
B-25510,2478,92,12,Furniture,Bookcases,COD,08-05-2023,Jason Randolph,California,San Francisco,2023-05
B-25510,2478,92,12,Furniture,Bookcases,COD,03-03-2021,Laura Andrews,New York,New York City,2021-03
B-25510,2478,92,12,Furniture,Bookcases,COD,18-03-2021,Mrs. Stephanie Hooper,California,San Francisco,2021-03
B-25510,2478,92,12,Furniture,Bookcases,COD,24-04-2023,Anthony Evans,Ohio,Cleveland,2023-04
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,09-10-2021,Patrick Williams,New York,Rochester,2021-10
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,15-04-2022,Susan Burke,Texas,Austin,2022-04
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,29-08-2022,Brent Hernandez,New York,Rochester,2022-08
B-25936,9619,3420,7,Office Supplies,Binders,UPI,09-10-2021,Patrick Williams,New York,Rochester,2021-10
B-25936,9619,3420,7,Office Supplies,Binders,UPI,15-04-2022,Susan Burke,Texas,Austin,2022-04
B-25936,9619,3420,7,Office Supplies,Binders,UPI,29-08-2022,Brent Hernandez,New York,Rochester,2022-08
B-25884,9538,3158,20,Electronics,Printers,Credit Card,04-09-2024,Sean Elliott,California,San Francisco,2024-09
B-25884,9538,3158,20,Electronics,Printers,Credit Card,18-05-2021,Wanda West,Ohio,Cleveland,2021-05
B-25884,9035,1227,14,Furniture,Chairs,EMI,04-09-2024,Sean Elliott,California,San Francisco,2024-09
B-25884,9035,1227,14,Furniture,Chairs,EMI,18-05-2021,Wanda West,Ohio,Cleveland,2021-05
B-26287,2684,670,2,Office Supplies,Paper,COD,02-07-2024,Renee Solomon,Florida,Tampa,2024-07
B-26287,822,147,5,Furniture,Sofas,Credit Card,02-07-2024,Renee Solomon,Florida,Tampa,2024-07
B-26287,9730,2341,2,Furniture,Chairs,EMI,02-07-2024,Renee Solomon,Florida,Tampa,2024-07
B-26287,2483,236,2,Electronics,Electronic Games,COD,02-07-2024,Renee Solomon,Florida,Tampa,2024-07
B-26564,1297,600,7,Office Supplies,Binders,Credit Card,16-02-2024,Daryl Miles,Florida,Orlando,2024-02
B-26564,7909,1942,19,Electronics,Phones,COD,16-02-2024,Daryl Miles,Florida,Orlando,2024-02
B-26293,9768,4518,8,Furniture,Tables,Credit Card,26-11-2021,Michael Hunt,Texas,Dallas,2021-11
B-26293,4968,934,5,Furniture,Sofas,Debit Card,26-11-2021,Michael Hunt,Texas,Dallas,2021-11
B-26293,1731,149,4,Electronics,Laptops,EMI,26-11-2021,Michael Hunt,Texas,Dallas,2021-11
B-25915,3433,1169,10,Office Supplies,Binders,COD,01-02-2024,Adam Clark,California,San Francisco,2024-02
B-25915,3433,1169,10,Office Supplies,Binders,COD,09-09-2021,Amy Olsen,Illinois,Springfield,2021-09
B-25915,3433,1169,10,Office Supplies,Binders,COD,08-09-2021,Stacey Miller,California,San Diego,2021-09
B-25915,3887,1490,1,Office Supplies,Binders,Debit Card,01-02-2024,Adam Clark,California,San Francisco,2024-02
B-25915,3887,1490,1,Office Supplies,Binders,Debit Card,09-09-2021,Amy Olsen,Illinois,Springfield,2021-09
B-25915,3887,1490,1,Office Supplies,Binders,Debit Card,08-09-2021,Stacey Miller,California,San Diego,2021-09
B-26496,1801,641,20,Office Supplies,Markers,Credit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07
B-26496,5301,817,10,Furniture,Tables,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07
B-26496,1166,520,12,Office Supplies,Paper,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07
B-26496,3196,1411,15,Office Supplies,Paper,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07
B-25856,3428,350,1,Furniture,Chairs,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,2023-02
B-25856,7223,2433,12,Office Supplies,Binders,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,2023-02
B-25856,3731,647,1,Office Supplies,Pens,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,2023-02
B-26899,8903,4401,18,Office Supplies,Pens,Credit Card,08-08-2022,Christopher Jordan,Ohio,Columbus,2022-08
B-25916,6009,2107,7,Electronics,Phones,UPI,07-12-2022,Christina Davis,Illinois,Chicago,2022-12
B-25916,6009,2107,7,Electronics,Phones,UPI,29-04-2024,Claudia Curry,Texas,Austin,2024-04
B-25916,2858,230,3,Furniture,Tables,Credit Card,07-12-2022,Christina Davis,Illinois,Chicago,2022-12
B-25916,2858,230,3,Furniture,Tables,Credit Card,29-04-2024,Claudia Curry,Texas,Austin,2024-04
B-25916,8175,525,7,Furniture,Sofas,Credit Card,07-12-2022,Christina Davis,Illinois,Chicago,2022-12
B-25916,8175,525,7,Furniture,Sofas,Credit Card,29-04-2024,Claudia Curry,Texas,Austin,2024-04
B-25916,5846,586,18,Furniture,Sofas,UPI,07-12-2022,Christina Davis,Illinois,Chicago,2022-12
B-25916,5846,586,18,Furniture,Sofas,UPI,29-04-2024,Claudia Curry,Texas,Austin,2024-04
B-26428,706,197,11,Electronics,Laptops,Credit Card,02-01-2022,Brandon Anderson,Texas,Austin,2022-01
B-26332,9835,2571,16,Furniture,Tables,COD,10-06-2022,George Foster,Texas,Dallas,2022-06
B-26332,9835,2571,16,Furniture,Tables,COD,16-11-2021,Nicholas Anderson,Florida,Orlando,2021-11
B-26332,9835,2571,16,Furniture,Tables,COD,17-08-2022,Emily Ellison,California,Los Angeles,2022-08
B-26332,9691,3056,13,Office Supplies,Markers,Credit Card,10-06-2022,George Foster,Texas,Dallas,2022-06
B-26332,9691,3056,13,Office Supplies,Markers,Credit Card,16-11-2021,Nicholas Anderson,Florida,Orlando,2021-11
B-26332,9691,3056,13,Office Supplies,Markers,Credit Card,17-08-2022,Emily Ellison,California,Los Angeles,2022-08
B-26332,7826,1221,14,Furniture,Bookcases,UPI,10-06-2022,George Foster,Texas,Dallas,2022-06
B-26332,7826,1221,14,Furniture,Bookcases,UPI,16-11-2021,Nicholas Anderson,Florida,Orlando,2021-11
B-26332,7826,1221,14,Furniture,Bookcases,UPI,17-08-2022,Emily Ellison,California,Los Angeles,2022-08
B-25303,770,241,11,Furniture,Sofas,COD,23-11-2021,Darren Perez,Texas,Austin,2021-11
B-25303,770,241,11,Furniture,Sofas,COD,04-03-2023,Michelle Hunter,Ohio,Cincinnati,2023-03
B-26507,9895,1598,20,Furniture,Bookcases,COD,16-12-2023,Janet Guerrero,New York,Rochester,2023-12
B-25983,6517,1581,10,Office Supplies,Paper,Debit Card,19-05-2024,Jeffrey Kline,Florida,Miami,2024-05
B-25983,6517,1581,10,Office Supplies,Paper,Debit Card,14-05-2020,Ryan Bullock,Florida,Tampa,2020-05
B-25983,1166,349,11,Furniture,Tables,Credit Card,19-05-2024,Jeffrey Kline,Florida,Miami,2024-05
B-25983,1166,349,11,Furniture,Tables,Credit Card,14-05-2020,Ryan Bullock,Florida,Tampa,2020-05
B-25156,9820,793,16,Furniture,Chairs,Credit Card,29-08-2021,Tom Lawson,New York,Buffalo,2021-08
B-26759,8563,2624,8,Office Supplies,Binders,COD,10-11-2024,Rebecca Smith,Texas,Dallas,2024-11
B-26759,4441,281,20,Electronics,Printers,COD,10-11-2024,Rebecca Smith,Texas,Dallas,2024-11
B-26244,7340,2271,8,Office Supplies,Paper,EMI,05-12-2021,William Welch,Florida,Orlando,2021-12
B-26244,5442,1610,1,Electronics,Phones,EMI,05-12-2021,William Welch,Florida,Orlando,2021-12
B-26365,1895,391,14,Furniture,Tables,UPI,05-07-2024,Mr. Curtis Bailey,Florida,Tampa,2024-07
B-26365,5323,322,13,Office Supplies,Binders,COD,05-07-2024,Mr. Curtis Bailey,Florida,Tampa,2024-07
B-26212,8850,279,13,Office Supplies,Markers,Debit Card,25-06-2024,Janet Carlson,Florida,Miami,2024-06
B-26212,8667,1266,6,Office Supplies,Paper,Debit Card,25-06-2024,Janet Carlson,Florida,Miami,2024-06
B-25042,6903,105,1,Furniture,Tables,COD,31-05-2024,Spencer Spears,Illinois,Chicago,2024-05
B-25042,8793,3010,7,Office Supplies,Pens,COD,31-05-2024,Spencer Spears,Illinois,Chicago,2024-05
B-25901,9883,4812,16,Office Supplies,Paper,UPI,20-10-2020,Jeffrey Middleton,New York,Buffalo,2020-10
B-25901,9883,4812,16,Office Supplies,Paper,UPI,11-08-2022,Veronica Kelley,Florida,Orlando,2022-08
B-25901,9883,4812,16,Office Supplies,Paper,UPI,17-10-2021,Leslie Bean,Illinois,Springfield,2021-10
B-25901,5210,1185,7,Office Supplies,Paper,UPI,20-10-2020,Jeffrey Middleton,New York,Buffalo,2020-10
B-25901,5210,1185,7,Office Supplies,Paper,UPI,11-08-2022,Veronica Kelley,Florida,Orlando,2022-08
B-25901,5210,1185,7,Office Supplies,Paper,UPI,17-10-2021,Leslie Bean,Illinois,Springfield,2021-10
B-26747,3574,851,4,Electronics,Printers,Credit Card,23-02-2022,Amy Wilson,California,Los Angeles,2022-02
B-26747,576,76,13,Furniture,Sofas,UPI,23-02-2022,Amy Wilson,California,Los Angeles,2022-02
B-26698,1860,457,13,Electronics,Printers,EMI,20-09-2023,Susan Ramirez,Ohio,Cleveland,2023-09
B-25841,782,374,8,Office Supplies,Pens,EMI,19-01-2021,Jacob Meyer,Illinois,Peoria,2021-01
B-25841,4371,1852,1,Electronics,Laptops,UPI,19-01-2021,Jacob Meyer,Illinois,Peoria,2021-01
B-26032,8346,1176,1,Electronics,Phones,COD,21-08-2020,Scott Lewis,Texas,Houston,2020-08
B-26032,8346,1176,1,Electronics,Phones,COD,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04
B-26032,8346,1176,1,Electronics,Phones,COD,24-12-2023,Anna Ferguson,California,San Francisco,2023-12
B-26032,6218,1125,5,Furniture,Tables,Debit Card,21-08-2020,Scott Lewis,Texas,Houston,2020-08
B-26032,6218,1125,5,Furniture,Tables,Debit Card,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04
B-26032,6218,1125,5,Furniture,Tables,Debit Card,24-12-2023,Anna Ferguson,California,San Francisco,2023-12
B-26032,5167,253,14,Electronics,Printers,Credit Card,21-08-2020,Scott Lewis,Texas,Houston,2020-08
B-26032,5167,253,14,Electronics,Printers,Credit Card,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04
B-26032,5167,253,14,Electronics,Printers,Credit Card,24-12-2023,Anna Ferguson,California,San Francisco,2023-12
B-26032,2799,1239,5,Furniture,Sofas,Debit Card,21-08-2020,Scott Lewis,Texas,Houston,2020-08
B-26032,2799,1239,5,Furniture,Sofas,Debit Card,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04
B-26032,2799,1239,5,Furniture,Sofas,Debit Card,24-12-2023,Anna Ferguson,California,San Francisco,2023-12
B-25171,3234,1029,20,Office Supplies,Markers,Credit Card,20-03-2022,David Figueroa,Florida,Miami,2022-03
B-26939,4920,775,12,Furniture,Tables,Debit Card,12-08-2021,Theresa Medina,Illinois,Springfield,2021-08
B-26939,9078,2213,15,Furniture,Bookcases,EMI,12-08-2021,Theresa Medina,Illinois,Springfield,2021-08
B-26347,8586,3826,7,Furniture,Bookcases,UPI,21-12-2020,Mary Smith,Florida,Miami,2020-12
B-26347,8586,3826,7,Furniture,Bookcases,UPI,07-07-2023,Lance Cain,Florida,Tampa,2023-07
B-25388,5047,2211,13,Furniture,Sofas,EMI,13-08-2023,Alexandra Moran,California,San Francisco,2023-08
B-25388,5047,2211,13,Furniture,Sofas,EMI,04-02-2021,Sara Castro,Illinois,Chicago,2021-02
B-25388,5047,2211,13,Furniture,Sofas,EMI,16-09-2022,Shawn Leach,Illinois,Peoria,2022-09
B-25388,5047,2211,13,Furniture,Sofas,EMI,06-05-2022,Mark Boyle,New York,Buffalo,2022-05
B-26419,3657,163,1,Furniture,Sofas,UPI,28-05-2021,John Stevens,California,San Francisco,2021-05
B-25157,6471,2842,18,Electronics,Electronic Games,UPI,18-07-2024,Lisa Graham,Illinois,Peoria,2024-07
B-25342,949,301,9,Office Supplies,Binders,UPI,06-12-2024,Nancy Jones,Ohio,Cleveland,2024-12
B-25342,6823,771,6,Office Supplies,Binders,EMI,06-12-2024,Nancy Jones,Ohio,Cleveland,2024-12
B-25342,4364,831,2,Furniture,Tables,EMI,06-12-2024,Nancy Jones,Ohio,Cleveland,2024-12
B-26165,6671,2797,10,Electronics,Phones,UPI,12-12-2022,Darryl Robbins,Illinois,Peoria,2022-12
B-26571,7472,1037,3,Office Supplies,Paper,COD,20-10-2022,Kimberly Smith,Illinois,Springfield,2022-10
B-26571,9548,1806,9,Electronics,Printers,COD,20-10-2022,Kimberly Smith,Illinois,Springfield,2022-10
B-25400,7759,3741,17,Electronics,Printers,UPI,24-03-2021,Maria Thomas,Florida,Miami,2021-03
B-25400,7759,3741,17,Electronics,Printers,UPI,06-01-2025,Nicholas Johnson,Texas,Dallas,2025-01
B-25400,7521,3457,16,Office Supplies,Markers,Debit Card,24-03-2021,Maria Thomas,Florida,Miami,2021-03
B-25400,7521,3457,16,Office Supplies,Markers,Debit Card,06-01-2025,Nicholas Johnson,Texas,Dallas,2025-01
B-25885,9704,4339,12,Office Supplies,Pens,COD,06-03-2021,Dawn Howard,Texas,Houston,2021-03
B-25885,4948,2356,18,Electronics,Printers,Debit Card,06-03-2021,Dawn Howard,Texas,Houston,2021-03
B-25885,6435,334,10,Electronics,Electronic Games,Debit Card,06-03-2021,Dawn Howard,Texas,Houston,2021-03
B-25004,9965,3033,16,Office Supplies,Markers,COD,17-06-2020,Jennifer Marshall,California,San Francisco,2020-06
B-25004,9965,3033,16,Office Supplies,Markers,COD,01-09-2023,Frank Garcia,New York,Buffalo,2023-09
B-26213,1523,234,3,Furniture,Sofas,UPI,08-06-2023,Terri Madden,New York,Rochester,2023-06
B-26213,9073,424,7,Electronics,Electronic Games,Debit Card,08-06-2023,Terri Madden,New York,Rochester,2023-06
B-25025,6447,3079,20,Electronics,Laptops,COD,25-03-2021,James Gutierrez,New York,Rochester,2021-03
B-25025,8947,2807,6,Electronics,Electronic Games,Credit Card,25-03-2021,James Gutierrez,New York,Rochester,2021-03
B-26804,914,400,8,Office Supplies,Pens,Debit Card,03-01-2021,Morgan Sellers,California,Los Angeles,2021-01
B-26804,1548,666,3,Office Supplies,Paper,Credit Card,03-01-2021,Morgan Sellers,California,Los Angeles,2021-01
B-26797,2759,1149,6,Furniture,Tables,Credit Card,27-12-2024,Caitlin Thomas,New York,New York City,2024-12
